length_km,gradient_percent,terrain,tech_level,wind_exp,marker_type,marker_name,marker_cat,end_marker_type,end_marker_name,end_marker_cat
0.99,3.100,Mountain,5,5,start,Start,null,,,
1.94,-2.100,Flat,5,5,,,,,,
15.78,4.800,Mountain,5,5,climb_start,Anstieg 1,null,,,
0.67,0.300,Flat,5,5,,,,,,
0.61,7.500,Mountain,5,5,,,,,,
0.62,-1.600,Flat,5,5,,,,,,
0.61,8.500,Mountain,5,5,,,,,,
0.44,-1.300,Flat,5,5,,,,,,
1.70,6.500,Mountain,5,5,,,,,,
0.78,9.900,Mountain,5,5,,,,climb_top,Anstieg 1,1
0.40,-5.700,Abfahrt,5,5,,,,,,
4.74,-0.200,Flat,5,5,,,,,,
0.94,-4.500,Abfahrt,5,5,,,,,,
0.53,4.900,Hill,5,5,climb_start,Anstieg 2,null,,,
0.40,9.900,Hill,5,5,,,,,,
0.44,2.700,Hill,5,5,,,,,,
0.48,6.600,Hill,5,5,,,,,,
0.52,2.300,Hill,5,5,,,,climb_top,Anstieg 2,4
3.65,-1.800,Flat,5,5,,,,,,
0.90,-5.600,Abfahrt,5,5,,,,,,
1.68,-1.200,Flat,5,5,,,,,,
0.79,-4.100,Abfahrt,5,5,,,,,,
1.07,-0.500,Flat,5,5,,,,,,
0.50,4.300,Hill,5,5,,,,,,
1.20,-2.300,Abfahrt,5,5,,,,,,
0.77,-7.800,Abfahrt,5,5,,,,,,
0.47,-4.300,Abfahrt,5,5,,,,,,
0.39,-10.500,Abfahrt,5,5,,,,,,
2.99,-3.800,Abfahrt,5,5,,,,,,
4.52,-0.300,Flat,5,5,,,,,,
2.52,-3.500,Abfahrt,5,5,,,,,,
0.91,-6.300,Abfahrt,5,5,,,,,,
0.36,-1.000,Flat,5,5,,,,,,
0.44,-10.900,Abfahrt,5,5,,,,,,
6.54,-0.800,Flat,5,5,,,,sprint_intermediate,Sprint 1,Sprint
2.23,4.400,Medium_Mountain,5,5,climb_start,Anstieg 3,null,,,
0.44,7.700,Medium_Mountain,5,5,,,,,,
2.03,4.900,Medium_Mountain,5,5,,,,climb_top,Anstieg 3,3
3.33,-1.000,Flat,5,5,,,,,,
1.47,-5.100,Abfahrt,5,5,,,,,,
0.48,-8.200,Abfahrt,5,5,,,,,,
3.34,-3.300,Abfahrt,5,5,,,,,,
1.92,2.200,Medium_Mountain,5,5,climb_start,Anstieg 4,null,,,
1.32,6.500,Medium_Mountain,5,5,,,,,,
0.97,3.200,Medium_Mountain,5,5,,,,,,
0.61,7.000,Medium_Mountain,5,5,,,,,,
0.49,1.300,Medium_Mountain,5,5,,,,climb_top,Anstieg 4,3
2.97,-5.800,Abfahrt,5,5,,,,,,
2.91,-3.000,Abfahrt,5,5,,,,,,
7.29,5.100,Medium_Mountain,5,5,climb_start,Anstieg 5,null,,,
0.63,8.300,Medium_Mountain,5,5,,,,,,
0.83,3.900,Medium_Mountain,5,5,,,,climb_top,Anstieg 5,2
0.84,-0.300,Flat,5,5,,,,,,
0.35,-5.900,Abfahrt,5,5,,,,,,
1.42,-1.300,Flat,5,5,,,,,,
0.57,-5.800,Abfahrt,5,5,,,,,,
0.45,-10.600,Abfahrt,5,5,,,,,,
0.95,-6.900,Abfahrt,5,5,,,,,,
0.45,-3.000,Abfahrt,5,5,,,,,,
4.30,-0.100,Flat,5,5,,,,sprint_intermediate,Sprint 2,Sprint
6.76,-5.600,Abfahrt,5,5,,,,,,
0.51,-10.800,Abfahrt,5,5,,,,,,
3.02,-4.300,Abfahrt,5,5,,,,,,
5.08,1.000,Flat,5,5,,,,,,
1.09,-4.100,Abfahrt,5,5,,,,,,
46.72,-0.100,Flat,5,5,,,,finish_flat,Ziel,null
