Fahrer;Team;Alter Start;Alter Ende;Overall Start;Overall Ende;Entwicklung;Status
William Davis;Vereinslos / Free Agent;16;17;47.57;57.24;+9.67;Active
Petr Andreev;Vereinslos / Free Agent;16;17;47.34;56.93;+9.59;Active
Michael Wilson;Vereinslos / Free Agent;16;17;47.79;57.13;+9.34;Active
Pascal Denifl;Vereinslos / Free Agent;16;17;47.86;57.06;+9.20;Active
Tilen Mezgec;Vereinslos / Free Agent;16;17;47.96;56.80;+8.84;Active
Jan Mezgec;Vereinslos / Free Agent;16;17;48.02;56.68;+8.66;Active
Kirill Petrov;Vereinslos / Free Agent;16;17;48.16;56.80;+8.64;Active
James Harris;Vereinslos / Free Agent;16;17;44.89;53.53;+8.64;Active
Maximilian Denifl;Vereinslos / Free Agent;16;17;48.27;56.89;+8.62;Active
Mason Yates;Vereinslos / Free Agent;16;17;47.18;55.76;+8.58;Active
Alejandro Valverde;Vereinslos / Free Agent;16;17;46.89;55.42;+8.53;Active
Lucas Wilson;Vereinslos / Free Agent;16;17;48.68;57.21;+8.53;Active
Ryan Smith;Vereinslos / Free Agent;16;17;48.98;57.49;+8.51;Active
Robert Jones;Vereinslos / Free Agent;16;17;46.54;55.01;+8.47;Active
Dmitri Lebedev;Vereinslos / Free Agent;16;17;47.57;56.03;+8.46;Active
Dmitri Smirnov;Vereinslos / Free Agent;16;17;46.82;55.28;+8.46;Active
Ivan Smirnov;Vereinslos / Free Agent;16;17;48.00;56.43;+8.43;Active
Edward Smith;Vereinslos / Free Agent;16;17;48.02;56.43;+8.41;Active
David Miller;Vereinslos / Free Agent;16;17;48.71;57.11;+8.40;Active
Marc Indurain;Vereinslos / Free Agent;16;17;47.77;56.16;+8.39;Active
Manuel Barbieri;Vereinslos / Free Agent;16;17;50.54;58.88;+8.34;Active
David Wilson;Vereinslos / Free Agent;16;17;49.00;57.31;+8.31;Active
Patryk Nowak;Vereinslos / Free Agent;16;17;46.30;54.53;+8.23;Active
Luka Novak;Vereinslos / Free Agent;16;17;46.86;55.08;+8.22;Active
Thomas Jackson;Vereinslos / Free Agent;16;17;48.04;56.24;+8.20;Active
Ian Johnson;Vereinslos / Free Agent;16;17;49.34;57.51;+8.17;Active
Rafal Kowalczyk;Vereinslos / Free Agent;16;17;46.45;54.56;+8.11;Active
Florian Van Aert;Vereinslos / Free Agent;16;17;46.46;54.55;+8.09;Active
