Fahrer;Team;Alter Start;Alter Ende;Overall Start;Overall Ende;Entwicklung;Status
Dmitri Smirnov;Vereinslos / Free Agent;16;21;46.82;74.42;+27.60;Active
James Harris;Vereinslos / Free Agent;16;21;44.89;71.51;+26.62;Active
Tadej Novak;Vereinslos / Free Agent;16;21;46.61;72.48;+25.87;Active
Andrew Jones;Vereinslos / Free Agent;16;21;48.40;74.23;+25.83;Active
Alexander Belyaev;Vereinslos / Free Agent;16;21;47.29;73.06;+25.77;Active
Petr Andreev;Vereinslos / Free Agent;16;21;47.34;72.86;+25.52;Active
Nikolai Volkov;Vereinslos / Free Agent;17;22;51.13;76.21;+25.08;Active
William Davis;Vereinslos / Free Agent;16;21;47.57;72.56;+24.99;Active
Maximilian Denifl;Vereinslos / Free Agent;16;21;48.27;73.25;+24.98;Active
Primoz Tratnik;Vereinslos / Free Agent;16;21;47.80;72.55;+24.75;Active
Ivan Popov;Vereinslos / Free Agent;17;22;51.10;75.81;+24.71;Active
James Williams;Vereinslos / Free Agent;16;21;47.44;72.12;+24.68;Active
Marc Rodriguez;Vereinslos / Free Agent;17;22;51.70;76.32;+24.62;Active
Pablo Romero;Vereinslos / Free Agent;17;22;49.88;74.40;+24.52;Active
David Thomas;Vereinslos / Free Agent;16;21;47.73;72.09;+24.36;Active
Florian Van Aert;Vereinslos / Free Agent;16;21;46.46;70.79;+24.33;Active
Thomas Jackson;Vereinslos / Free Agent;16;21;48.04;71.85;+23.81;Active
Omar Sastre;Vereinslos / Free Agent;17;22;48.13;71.92;+23.79;Active
Samuel Yates;Vereinslos / Free Agent;16;21;46.66;70.39;+23.73;Active
Alejandro Valverde;Vereinslos / Free Agent;16;21;46.89;70.60;+23.71;Active
Alexander Smirnov;Vereinslos / Free Agent;16;21;47.21;70.90;+23.69;Active
Toni Burghardt;Vereinslos / Free Agent;16;21;49.50;73.16;+23.66;Active
Toni Westphal;Vereinslos / Free Agent;17;22;49.27;72.89;+23.62;Active
Antonio Greco;Vereinslos / Free Agent;16;21;48.65;72.22;+23.57;Active
Toni Denifl;Vereinslos / Free Agent;16;21;47.91;71.40;+23.49;Active
Edward Smith;Vereinslos / Free Agent;16;21;48.02;71.17;+23.15;Active
David Smith;Vereinslos / Free Agent;16;21;49.05;72.16;+23.11;Active
Alfie Froome;Vereinslos / Free Agent;16;21;49.11;72.13;+23.02;Active
Tilen Mezgec;Vereinslos / Free Agent;16;21;47.96;70.97;+23.01;Active
Alberto Anton;Vereinslos / Free Agent;16;21;46.90;69.84;+22.94;Active
Dmitri Lebedev;Vereinslos / Free Agent;16;21;47.57;70.47;+22.90;Active
Luka Novak;Vereinslos / Free Agent;16;21;46.86;69.74;+22.88;Active
Niall Quinn;Vereinslos / Free Agent;16;21;49.22;71.99;+22.77;Active
Simon Dennis;Vereinslos / Free Agent;17;22;50.35;73.06;+22.71;Active
Robert Jones;Vereinslos / Free Agent;16;21;46.54;69.00;+22.46;Active
Matteo Greco;Vereinslos / Free Agent;17;22;49.41;71.64;+22.23;Active
Paul Brown;Vereinslos / Free Agent;17;22;50.49;72.72;+22.23;Active
Mads Sorensen;Vereinslos / Free Agent;16;21;49.20;71.37;+22.17;Active
George Davis;Vereinslos / Free Agent;16;21;47.98;70.02;+22.04;Active
