Rider ID;First Name;Last Name;Birth Year;Age in 2026;Overall Rating;Potential Overall;Role
6770;Remco;Evenepoel;2000;26;78.22;78.22;Kapitaen
3280;Primoz;Roglic;1990;36;77.79;77.79;Kapitaen
3365;Julian;Alaphilippe;1992;34;74.72;74.72;Kapitaen
15145;Kévin;Vauquelin;2001;25;74.59;74.59;Co-Kapitaen
7117;Oier;Lazkano;2000;26;74.16;76.29;Co-Kapitaen
3404;Christophe;Laporte;1993;33;74.00;74.00;Sprinter
5663;Ben;O'Connor;1996;30;73.96;73.96;Co-Kapitaen
6688;Aurélien;Paret-Peintre;1996;30;73.96;73.96;Edelhelfer
3140;Felix;Großschartner;1994;32;73.83;73.83;Edelhelfer
5958;Dorian;Godon;1996;30;73.58;73.58;Edelhelfer
2441;Marco;Haller;1991;35;72.82;72.82;Edelhelfer
3699;Mike;Teunissen;1993;33;72.82;72.82;Starke Helfer
7308;Tim;van Dijke;2000;26;72.46;75.18;Starke Helfer
3125;Yves;Lampaert;1991;35;72.46;72.46;Starke Helfer
4268;Bart;Lemmen;1996;30;72.35;72.35;Starke Helfer
3942;Lorenzo;Rota;1995;31;72.14;72.14;Starke Helfer
14247;Lorenzo;Milesi;2002;24;71.92;75.08;Starke Helfer
4093;Francesco;Busatto;2003;23;71.31;75.81;Starke Helfer
9236;Adrià;Pericas;2006;20;71.13;76.71;Wassertraeger
7602;Milan;Fretin;2001;25;71.01;76.52;Sprinter
6342;Valentin;Ferron;1998;28;70.44;70.44;Wassertraeger
6779;Alexis;Guérin;1992;34;70.41;70.41;Wassertraeger
3056;Eduardo;Sepúlveda;1991;35;70.40;70.40;Wassertraeger
3559;Elmar;Reinders;1992;34;70.29;70.29;Wassertraeger
11230;Tomá;Kopecký;2000;26;70.27;70.27;Wassertraeger
7499;Loe;van Belle;2002;24;69.82;74.22;Wassertraeger
3854;Lionel;Taminiaux;1996;30;69.73;69.73;Sprinter
4128;Warre;Vangheluwe;2002;24;69.51;75.21;Wassertraeger
15300;Florian;Dauphin;1999;27;69.38;69.38;Wassertraeger
11268;Alex;Tolio;2000;26;69.29;75.63;Wassertraeger
6703;Campbell;Stewart;1998;28;68.96;68.96;Wassertraeger
15121;Zeb;Kyffin;1998;28;68.27;68.27;Wassertraeger
