Rider ID;First Name;Last Name;Birth Year;Age in Season;Overall Rating;Potential Overall;Role;Contract Start;Contract End
6770;Remco;Evenepoel;2000;26;78.22;78.22;Kapitaen;2026;2026
3280;Primoz;Roglic;1990;36;77.63;77.79;Kapitaen;2026;2027
15145;Kévin;Vauquelin;2001;25;74.59;74.59;Kapitaen;2026;2027
3365;Julian;Alaphilippe;1992;34;74.58;74.72;Co-Kapitaen;2026;2026
7117;Oier;Lazkano;2000;26;74.16;76.29;Co-Kapitaen;2026;2027
3404;Christophe;Laporte;1993;33;73.98;74.00;Sprinter;2026;2026
6688;Aurélien;Paret-Peintre;1996;30;73.95;73.96;Co-Kapitaen;2026;2027
5663;Ben;O'Connor;1996;30;73.91;73.96;Edelhelfer;2026;2027
3140;Felix;Großschartner;1994;32;73.81;73.83;Edelhelfer;2026;2026
5958;Dorian;Godon;1996;30;73.58;73.58;Edelhelfer;2026;2026
3699;Mike;Teunissen;1993;33;72.80;72.82;Edelhelfer;2026;2028
2441;Marco;Haller;1991;35;72.79;72.82;Starke Helfer;2026;2027
7308;Tim;van Dijke;2000;26;72.46;75.18;Sprinter;2026;2027
3125;Yves;Lampaert;1991;35;72.46;72.46;Starke Helfer;2026;2027
4268;Bart;Lemmen;1996;30;72.35;72.35;Starke Helfer;2026;2028
3942;Lorenzo;Rota;1995;31;72.07;72.14;Starke Helfer;2026;2028
14247;Lorenzo;Milesi;2002;24;71.92;75.08;Starke Helfer;2026;2028
9236;Adrià;Pericas;2006;20;71.78;76.71;Starke Helfer;2026;2027
4093;Francesco;Busatto;2003;23;71.64;75.81;Starke Helfer;2026;2027
7602;Milan;Fretin;2001;25;71.35;76.52;Sprinter;2026;2027
6342;Valentin;Ferron;1998;28;70.44;70.44;Wassertraeger;2026;2026
6779;Alexis;Guérin;1992;34;70.28;70.41;Wassertraeger;2026;2026
11230;Tomá;Kopecký;2000;26;70.27;70.27;Wassertraeger;2026;2027
3056;Eduardo;Sepúlveda;1991;35;70.23;70.40;Wassertraeger;2026;2026
3559;Elmar;Reinders;1992;34;70.22;70.29;Wassertraeger;2026;2027
7499;Loe;van Belle;2002;24;70.07;74.22;Wassertraeger;2026;2026
4128;Warre;Vangheluwe;2002;24;69.75;75.21;Wassertraeger;2026;2027
3854;Lionel;Taminiaux;1996;30;69.71;69.73;Wassertraeger;2026;2027
15300;Florian;Dauphin;1999;27;69.38;69.38;Wassertraeger;2026;2027
11268;Alex;Tolio;2000;26;69.30;75.63;Wassertraeger;2026;2027
6703;Campbell;Stewart;1998;28;68.91;68.96;Wassertraeger;2026;2027
15121;Zeb;Kyffin;1998;28;68.27;68.27;Wassertraeger;2026;2028
