Rider ID;First Name;Last Name;Birth Year;Age in Season;Overall Rating;Potential Overall;Role;Contract Start;Contract End
6195;Jonas;Vingegaard;1997;29;77.95;77.95;Kapitaen;2026;2027
5957;Richard;Carapaz;1993;33;75.78;75.84;Kapitaen;2026;2026
3628;Nils;Politt;1994;32;75.33;75.33;Kapitaen;2026;2027
2319;Michael;Matthews;1991;35;75.23;75.27;Co-Kapitaen;2026;2026
5672;Egan;Bernal;1997;29;74.31;74.32;Co-Kapitaen;2026;2026
14573;Ben;Turner;1999;27;73.26;73.26;Co-Kapitaen;2026;2026
2412;Rafal;Majka;1990;36;73.22;73.39;Edelhelfer;2026;2026
3924;Tao;Geoghegan Hart;1995;31;73.08;73.08;Edelhelfer;2026;2027
5677;Simone;Velasco;1996;30;72.93;72.95;Edelhelfer;2026;2027
15499;Jarno;Widar;2006;20;72.88;76.57;Edelhelfer;2026;2027
3382;Dylan;van Baarle;1992;34;72.86;72.92;Starke Helfer;2026;2027
15557;Viktor;Soenens;2006;20;72.73;78.27;Starke Helfer;2026;2027
6201;Andreas;Kron;1998;28;72.46;72.46;Starke Helfer;2026;2026
9391;Albert;Withen Philipsen;2007;19;72.11;75.88;Starke Helfer;2026;2026
6971;Juan Pedro;López;1998;28;71.92;71.92;Starke Helfer;2026;2026
12431;Luká;Kubi;2000;26;71.89;75.95;Starke Helfer;2026;2026
14264;Samuel;Watson;2002;24;71.86;71.86;Wassertraeger;2026;2027
14241;Lander;Loockx;1997;29;71.86;71.86;Starke Helfer;2026;2028
7454;Raúl;García Pierna;2001;25;71.71;71.71;Wassertraeger;2026;2027
7361;Casper;van Uden;2002;24;71.54;76.21;Sprinter;2026;2026
6309;Sander;De Pestel;1999;27;71.00;75.80;Wassertraeger;2026;2026
7119;Joel;Nicolau;1998;28;70.86;70.86;Wassertraeger;2026;2027
15478;Kamiel;Bonneu;2000;26;70.82;70.82;Wassertraeger;2026;2026
15261;Emiel;Verstrynge;2002;24;70.53;70.53;Wassertraeger;2026;2027
6346;Emilien;Jeannière;1999;27;70.31;70.31;Sprinter;2026;2027
14301;Sam;Welsford;1996;30;70.25;70.30;Sprinter;2026;2027
5765;Patrick;Gamper;1997;29;70.24;70.24;Wassertraeger;2026;2028
5897;Chris;Hamilton;1995;31;70.22;70.23;Wassertraeger;2026;2026
4262;Jesse;Kramer;2004;22;69.84;75.38;Wassertraeger;2026;2026
7279;Alexandre;Balmer;2000;26;69.07;73.38;Wassertraeger;2026;2026
15319;Dillon;Corkery;1999;27;68.97;68.97;Wassertraeger;2026;2026
14937;Luca;Colnaghi;1999;27;68.68;68.68;Wassertraeger;2026;2026
