Rider ID;First Name;Last Name;Birth Year;Age in Season;Overall Rating;Potential Overall;Role;Contract Start;Contract End
7382;Lennert;Van Eetvelt;2002;27;76.35;78.75;Kapitaen;2027;2029
6331;Marc;Hirschi;1999;30;73.28;77.40;Kapitaen;2029;2029
7424;Jay;Vine;1996;33;72.85;73.23;Kapitaen;2027;2030
12674;Harold Martín;López;2001;28;72.31;75.22;Co-Kapitaen;2029;2030
7100;Matîs;Louvel;2000;29;71.99;71.99;Co-Kapitaen;2027;2029
11886;Matteo;Vanden Wijngaert;2008;21;71.62;75.65;Co-Kapitaen;2028;2029
8455;Andrea;Raccagni Noviero;2004;25;71.62;75.11;Edelhelfer;2029;2030
11825;Josh;Johnson;2008;21;71.55;75.04;Edelhelfer;2028;2030
7701;Arthur;Van Den Boer;2007;22;71.42;74.64;Edelhelfer;2028;2029
17191;Edwar;Becerra;2005;24;71.41;74.78;Sprinter;2028;2030
11865;Jules;Vaugrenard;2006;23;71.35;74.36;Edelhelfer;2028;2029
15591;Henri-Johannes;Appelbaum;2005;24;71.32;74.67;Starke Helfer;2028;2030
5536;Zeno Levi;Winter;2007;22;71.30;74.54;Starke Helfer;2028;2029
7024;Marius;Mayrhofer;2001;28;71.24;75.40;Starke Helfer;2028;2029
11393;Braden;Reitz;2007;22;71.13;74.41;Starke Helfer;2028;2030
3932;Will;Barta;1996;33;71.06;71.44;Starke Helfer;2027;2029
7284;Hugo;Page;2002;27;71.03;71.18;Starke Helfer;2029;2030
12991;Riley;Sheehan;2000;29;70.97;71.48;Starke Helfer;2027;2029
10029;Oliver;Mätik;2006;23;70.95;74.13;Wassertraeger;2029;2030
16407;Emmanuel;Houcou;2003;26;70.78;75.34;Sprinter;2029;2031
16463;Bohémond;Barrillot;2004;25;70.75;74.37;Wassertraeger;2028;2029
8733;Lucas;Towers;2004;25;70.67;75.16;Wassertraeger;2028;2029
14216;Martin;Marcellusi;2000;29;70.67;70.67;Wassertraeger;2029;2030
6027;Nils;Eekhoff;1998;31;70.63;71.00;Wassertraeger;2027;2029
11352;Pepe;Albrecht;2007;22;70.36;73.77;Wassertraeger;2029;2031
10630;Isshin;Yamasato;2005;24;70.36;73.55;Sprinter;2029;2029
15522;Matys;Grisel;2006;23;70.30;73.64;Wassertraeger;2028;2030
11230;Tomá;Kopecký;2000;29;70.27;70.27;Wassertraeger;2028;2029
15980;Gergö;Grósz;2007;22;70.13;74.63;Wassertraeger;2029;2029
11928;Marius;Linde;2009;20;70.08;73.70;Wassertraeger;2029;2031
7415;Samuele;Zoccarato;1998;31;69.86;70.03;Wassertraeger;2028;2030
3406;Clément;Venturini;1994;35;69.49;70.90;Wassertraeger;2028;2029
