Rider ID;First Name;Last Name;Birth Year;Age in 2026;Overall Rating;Potential Overall;Role
6777;Tadej;Pogacar;1999;27;81.49;81.49;Kapitaen
5943;Filippo;Ganna;1997;29;77.19;77.19;Kapitaen
6324;Jasper;Philipsen;1998;28;75.67;75.67;Kapitaen
7399;Juan;Ayuso;2003;23;75.47;78.35;Co-Kapitaen
3931;Davide;Ballerini;1995;31;72.94;72.94;Co-Kapitaen
5789;Eddie;Dunbar;1997;29;72.92;72.92;Co-Kapitaen
7129;Corbin;Strong;2000;26;72.85;72.85;Sprinter
14393;Alec;Segaert;2003;23;72.59;78.14;Starke Helfer
5106;Iván;García Cortina;1996;30;72.52;72.52;Edelhelfer
3291;Alex;Kirsch;1992;34;72.46;72.46;Edelhelfer
2542;Rudy;Molard;1990;36;72.44;72.44;Edelhelfer
4275;Jordan;Jegat;1999;27;72.27;72.27;Edelhelfer
7370;Henok;Mulubrhan;2000;26;71.50;71.50;Starke Helfer
6249;Ivo;Oliveira;1997;29;71.07;71.07;Starke Helfer
5744;Max;Kanter;1998;28;71.04;71.04;Sprinter
6131;Óscar;Rodríguez;1995;31;70.98;70.98;Starke Helfer
1975;Nélson;Oliveira;1989;37;70.88;70.89;Starke Helfer
15387;Stian;Fredheim;2003;23;70.55;76.46;Sprinter
11329;Thomas;Pesenti;2000;26;70.31;74.73;Starke Helfer
2515;Mikel;Bizkarra;1990;36;70.27;70.27;Starke Helfer
3153;Jimmy;Janssens;1989;37;70.19;70.22;Wassertraeger
15604;Noah;Hobbs;2005;21;70.09;77.45;Wassertraeger
16408;Clément;Izquierdo;2002;24;69.65;72.84;Wassertraeger
7537;Javier;Serrano;2001;25;69.49;69.49;Wassertraeger
6417;Sergio;Samitier;1996;30;69.46;69.46;Wassertraeger
5306;Frederik;Frison;1993;33;69.44;69.44;Wassertraeger
3926;Michele;Gazzoli;1999;27;69.42;69.42;Wassertraeger
7446;Davide;Bais;1998;28;69.25;69.25;Wassertraeger
7131;Harrison;Wood;2000;26;69.25;69.25;Wassertraeger
5630;Jorge;Arcas;1992;34;69.21;69.21;Wassertraeger
6566;Gianni;Marchand;1990;36;68.36;68.36;Wassertraeger
6899;Tim;Marsman;2001;25;68.19;72.13;Wassertraeger
