profile;stages;runs;distance_km;speed_kmh;speed_sd;first_group;first_group_share;time_groups;gap_rank2_s_per_km;gap_rank5_s_per_km;gap_rank10_s_per_km;gap_rank20_s_per_km;gap_rank50_s_per_km;gap_rank100_s_per_km;last_gap_s_per_km;dnf;otl;spearman;runtime_ms
TTT;5;250;23.5;55.33;4.97;7.0;0.200;15.0;0.0000;0.0000;12.6798;17.9271;–;–;24.2006;0.00;154.00;0.004;42
Cobble;2;100;87.6;48.24;0.49;5.0;0.025;38.0;0.0033;0.0159;0.0474;0.1190;0.2569;0.5794;13.7255;0.50;0.00;0.681;413
Cobble_Hill;8;400;207.8;48.09;1.71;36.0;0.227;25.0;0.0001;0.0004;0.0012;0.0047;0.0489;0.1329;8.7683;0.00;0.00;0.356;827
Flat;8;400;156.8;45.31;2.68;164.0;0.888;11.0;0.0002;0.0006;0.0017;0.0045;0.0139;0.0319;6.2232;0.00;0.00;0.233;689
Rolling;5;250;218.1;43.70;0.63;123.5;0.670;18.0;0.0001;0.0004;0.0010;0.0026;0.0103;0.0293;8.8477;0.00;0.00;0.241;655
Hilly_Difficult;6;300;206.4;43.64;5.62;6.0;0.032;47.0;0.0006;0.0030;0.0430;0.0833;0.1542;0.5519;9.5229;0.00;0.00;0.483;1036
ITT;5;250;23.2;43.36;3.78;1.0;0.167;6.0;6.3783;19.4743;–;–;–;–;23.1227;0.00;44.00;-0.500;10
Medium_Mountain;6;300;176.9;42.66;2.72;3.0;0.033;42.0;0.0004;0.0425;0.1041;0.1597;0.3675;1.1302;10.1311;0.00;0.00;0.554;759
Hilly;7;350;194.0;42.41;3.42;58.0;0.375;19.0;0.0001;0.0005;0.0030;0.0082;0.0192;0.0666;10.1007;0.00;0.00;0.380;789
Mountain;4;200;151.4;38.59;1.51;3.0;0.017;83.0;0.0015;0.0180;0.0894;0.1884;0.9030;2.0853;15.3651;0.00;0.00;0.636;822
High_Mountain;7;350;165.7;38.21;2.54;2.0;0.011;106.0;0.0014;0.0849;0.2068;0.3648;0.9980;2.5167;16.7199;0.00;0.00;0.626;986
