rennen,jahr,stage_id,stage_num,km,hm,ps,D,parcours_type,terrain,sicherheit,avg_speed_winner,won_how,win_type,startlist_quality
TdF,2010,1,2,223.5,420.0,0.0,0.0,Flat,Flat,0.8694866818230789,43.31,Sprint of large group,Large group sprint,1685.0
TdF,2010,2,3,201.0,2708.0,98.0,0.48756218905472637,Hills flat finish,Hilly_Difficult,0.7494330584993907,42.95,19 km solo,Solo,1685.0
TdF,2010,3,4,213.0,1168.0,7.0,0.03286384976525822,Flat,Flat,0.7892779344408604,44.125,Sprint of 19 riders,Small group sprint,1685.0
TdF,2010,4,5,153.5,1107.0,7.0,0.04560260586319218,Flat,Flat,0.8649179176194466,42.854,Sprint of large group,Large group sprint,1685.0
TdF,2010,5,6,187.5,1374.0,19.0,0.10133333333333333,Flat,Flat,0.7611123706874481,41.54,Sprint of large group,Large group sprint,1685.0
TdF,2010,6,7,227.5,2345.0,44.0,0.1934065934065934,Flat,Hilly,0.4434385632390397,40.42,Sprint of large group,Large group sprint,1685.0
TdF,2010,7,8,165.5,3446.0,211.0,1.2749244712990937,Mountains uphill finish,Medium_Mountain,0.4555224025974027,37.78,13.5 km solo,Solo,1685.0
TdF,2010,8,9,189.0,3636.0,297.0,1.5714285714285714,Mountains uphill finish,Medium_Mountain,0.4424542027417028,38.547,Sprint à deux,Sprint à deux,1685.0
TdF,2010,9,10,204.5,5144.0,264.0,1.2909535452322738,Mountains flat finish,High_Mountain,0.41270968822843834,36.284,Sprint of small group,Small group sprint,1685.0
TdF,2010,10,11,179.0,3187.0,162.0,0.9050279329608939,Hills flat finish,Medium_Mountain,0.63825,34.541,Sprint à deux,Sprint à deux,1685.0
TdF,2010,11,12,184.5,1264.0,21.0,0.11382113821138211,Hills flat finish,Flat,0.8137074295780757,39.19,Sprint of large group,Large group sprint,1685.0
TdF,2010,12,13,210.5,3485.0,143.0,0.6793349168646081,Hills uphill finish,Medium_Mountain,0.816594062881563,42.32,Sprint à deux,Sprint à deux,1685.0
TdF,2010,13,14,196.0,2163.0,60.0,0.30612244897959184,Hills flat finish,Rolling,0.4374090649417661,44.139,7.3 km solo,Solo,1685.0
TdF,2010,14,15,184.5,3796.0,324.0,1.7560975609756098,Mountains uphill finish,Medium_Mountain,0.42408576839826856,37.82,30 km solo,Solo,1685.0
TdF,2010,15,16,187.5,3542.0,237.0,1.264,Mountains flat finish,Medium_Mountain,0.49172813852813846,39.48,29 km solo,Solo,1685.0
TdF,2010,16,17,199.5,4721.0,202.0,1.012531328320802,Mountains flat finish,Mountain,0.41559948997081364,36.09,Sprint of 51 riders,Small group sprint,1685.0
TdF,2010,17,18,174.0,4681.0,410.0,2.3563218390804597,Mountains uphill finish,Mountain,0.46692522530574015,34.401,Sprint à deux,Sprint à deux,1685.0
TdF,2010,18,19,198.0,1056.0,9.0,0.045454545454545456,Flat,Flat,0.7892779344408604,42.86,Sprint of large group,Large group sprint,1685.0
TdF,2010,20,21,102.5,481.0,6.0,0.05853658536585366,Flat,Flat,0.9861458333333334,37.881,Sprint of large group,Large group sprint,1685.0
TdF,2011,1,1,191.5,1286.0,35.0,0.18276762402088773,Hills uphill finish,Hilly,0.4376530070806388,40.81,Sprint of large group,Large group sprint,1713.0
TdF,2011,3,3,198.0,1066.0,11.0,0.05555555555555555,Flat,Flat,0.7892779344408604,42.376,Sprint of large group,Large group sprint,1713.0
TdF,2011,4,4,172.5,2250.0,83.0,0.4811594202898551,Hills uphill finish,Hilly_Difficult,0.5346707782730235,41.13,Sprint of 29 riders,Small group sprint,1713.0
TdF,2011,5,5,164.5,1652.0,39.0,0.23708206686930092,Flat,Rolling,0.6253363095238095,45.16,Sprint of large group,Large group sprint,1713.0
TdF,2011,6,6,226.5,2373.0,52.0,0.22958057395143489,Hills uphill finish,Rolling,0.4682226843041971,43.33,Sprint of large group,Large group sprint,1713.0
TdF,2011,7,7,215.0,1304.0,6.0,0.027906976744186046,Flat,Flat,0.7988857862016726,38.066,Sprint of large group,Large group sprint,1713.0
TdF,2011,8,8,190.0,3019.0,130.0,0.6842105263157895,Mountains uphill finish,Hilly_Difficult,0.747982508354219,41.19,5.6 km solo,Solo,1713.0
TdF,2011,9,9,208.0,3975.0,160.0,0.7692307692307693,Hills flat finish,Mountain,0.47796958596958583,38.148,Sprint of small group,Small group sprint,1713.0
TdF,2011,10,10,161.0,1933.0,77.0,0.4782608695652174,Hills flat finish,Hilly_Difficult,0.4708495649865641,45.706,Sprint of large group,Large group sprint,1713.0
TdF,2011,11,11,168.5,1695.0,42.0,0.24925816023738873,Hills flat finish,Rolling,0.6197946428571428,44.71,Sprint of large group,Large group sprint,1713.0
TdF,2011,12,12,211.0,4563.0,399.0,1.8909952606635072,Mountains uphill finish,Mountain,0.6604882201132203,35.04,Sprint à deux,Sprint à deux,1713.0
TdF,2011,13,13,152.5,2605.0,148.0,0.9704918032786886,Mountains flat finish,Medium_Mountain,0.6583078102453102,40.2,2.2 km solo,Solo,1713.0
TdF,2011,14,14,168.5,5420.0,462.0,2.741839762611276,Mountains uphill finish,High_Mountain,0.7477793903970165,32.26,6.9 km solo,Solo,1713.0
TdF,2011,15,15,192.5,1464.0,25.0,0.12987012987012986,Flat,Flat,0.7493027105763176,44.35,Sprint of large group,Large group sprint,1713.0
TdF,2011,16,16,162.5,2372.0,90.0,0.5538461538461539,Mountains flat finish,Hilly_Difficult,0.5062947463768114,46.07,Sprint of small group,Small group sprint,1713.0
TdF,2011,17,17,179.0,3193.0,170.0,0.9497206703910615,Mountains flat finish,Medium_Mountain,0.6355059523809524,41.628,11 km solo,Solo,1713.0
TdF,2011,18,18,189.0,5268.0,329.0,1.7407407407407407,Mountains uphill finish,High_Mountain,0.6947587336124489,30.821,8 km solo,Solo,1713.0
TdF,2011,19,19,109.5,3571.0,368.0,3.3607305936073057,Mountains uphill finish,Hilly_Difficult,0.42559285159285165,33.97,2 km solo,Solo,1713.0
TdF,2011,21,21,95.0,436.0,2.0,0.021052631578947368,Flat,Flat,0.9861458333333334,38.767,Sprint of large group,Large group sprint,1713.0
TdF,2012,1,2,198.0,2680.0,66.0,0.3333333333333333,Hills uphill finish,Rolling,0.3660386321195145,39.823,Sprint of large group,Large group sprint,1703.0
TdF,2012,2,3,207.5,1509.0,18.0,0.08674698795180723,Flat,Flat,0.7283522894696465,41.92,Sprint of large group,Large group sprint,1703.0
TdF,2012,3,4,197.0,1551.0,86.0,0.4365482233502538,Hills uphill finish,Hilly,0.5795362103174605,41.772,Sprint of 48 riders,Small group sprint,1703.0
TdF,2012,4,5,214.5,1698.0,25.0,0.11655011655011654,Flat,Flat,0.7446598534334605,40.4,Sprint of large group,Large group sprint,1703.0
TdF,2012,5,6,196.5,1250.0,11.0,0.05597964376590331,Flat,Flat,0.8088910296789555,41.88,Sprint of large group,Large group sprint,1703.0
TdF,2012,6,7,205.0,1535.0,16.0,0.07804878048780488,Flat,Flat,0.7291856228029797,44.4,Sprint of large group,Large group sprint,1703.0
TdF,2012,7,8,199.0,2736.0,168.0,0.8442211055276382,Mountains uphill finish,Hilly_Difficult,0.6920097222222223,39.989,Sprint of small group,Small group sprint,1703.0
TdF,2012,8,9,157.5,3072.0,179.0,1.1365079365079365,Mountains flat finish,Medium_Mountain,0.6305952380952379,40.01,18.9 km solo,Solo,1703.0
TdF,2012,10,11,194.5,3350.0,208.0,1.069408740359897,Mountains flat finish,Medium_Mountain,0.6665626984126982,40.74,Sprint of 17 riders,Small group sprint,1703.0
TdF,2012,11,12,148.0,4987.0,387.0,2.614864864864865,Mountains uphill finish,Mountain,0.7748261227366509,31.28,10.3 km solo,Solo,1703.0
TdF,2012,12,13,226.0,3399.0,126.0,0.5575221238938053,Mountains flat finish,Medium_Mountain,0.8634104686979687,39.56,Sprint à deux,Sprint à deux,1703.0
TdF,2012,13,14,217.0,1795.0,50.0,0.2304147465437788,Flat,Hilly,0.7122807338494838,43.69,Sprint of large group,Large group sprint,1703.0
TdF,2012,14,15,191.0,3284.0,206.0,1.0785340314136125,Mountains flat finish,Medium_Mountain,0.6775746031746028,39.45,10 km solo,Solo,1703.0
TdF,2012,15,16,158.5,2173.0,71.0,0.4479495268138801,Flat,Hilly_Difficult,0.4726938895485728,43.18,Sprint à deux,Sprint à deux,1703.0
TdF,2012,16,17,197.0,5291.0,293.0,1.4873096446700507,Mountains flat finish,High_Mountain,0.49471581196581205,35.28,21 km solo,Solo,1703.0
TdF,2012,17,18,143.5,4383.0,400.0,2.7874564459930316,Mountains uphill finish,High_Mountain,0.8008218694393023,34.14,35 km solo,Solo,1703.0
TdF,2012,18,19,222.5,2146.0,55.0,0.24719101123595505,Flat,Rolling,0.6510551735845854,45.38,Sprint of large group,Large group sprint,1703.0
TdF,2012,20,21,120.0,699.0,7.0,0.058333333333333334,Flat,Flat,0.9114877313841129,38.27,Sprint of large group,Large group sprint,1703.0
TdF,2013,1,1,213.0,1529.0,13.0,0.06103286384976526,Flat,Flat,0.7603522894696465,43.05,Sprint of large group,Large group sprint,1690.0
TdF,2013,2,2,156.0,2373.0,95.0,0.6089743589743589,Mountains flat finish,Hilly_Difficult,0.4895650432900432,41.94,1.7 km solo,Solo,1690.0
TdF,2013,3,3,145.5,2426.0,109.0,0.7491408934707904,Hills flat finish,Medium_Mountain,0.5404457972582974,39.43,Sprint of large group,Large group sprint,1690.0
TdF,2013,5,5,228.5,2775.0,68.0,0.2975929978118162,Hills flat finish,Rolling,0.45365197204870006,41.31,Sprint of large group,Large group sprint,1690.0
TdF,2013,6,6,176.5,837.0,8.0,0.0453257790368272,Flat,Flat,0.8267069866945062,44.3,Sprint of large group,Large group sprint,1690.0
TdF,2013,7,7,205.5,2675.0,66.0,0.32116788321167883,Hills flat finish,Rolling,0.36941389091868637,41.91,Sprint of large group,Large group sprint,1690.0
TdF,2013,8,8,195.0,3839.0,345.0,1.7692307692307692,Mountains uphill finish,Mountain,0.4748251401376404,38.58,5 km solo,Solo,1690.0
TdF,2013,9,9,168.5,4411.0,252.0,1.4955489614243322,Mountains flat finish,Mountain,0.5218709500209116,35.72,Sprint à deux,Sprint à deux,1690.0
TdF,2013,10,10,197.0,1762.0,25.0,0.12690355329949238,Flat,Flat,0.6358775056642704,40.28,Sprint of large group,Large group sprint,1690.0
TdF,2013,12,12,218.0,1425.0,10.0,0.045871559633027525,Flat,Flat,0.7616439561363131,45.13,Sprint of large group,Large group sprint,1690.0
TdF,2013,13,13,173.0,1036.0,7.0,0.04046242774566474,Flat,Flat,0.8023423057313346,47.15,Sprint of 44 riders,Small group sprint,1690.0
TdF,2013,14,14,191.0,2158.0,60.0,0.31413612565445026,Hills flat finish,Rolling,0.4301623329156222,44.91,Sprint of 127 riders,Small group sprint,1690.0
TdF,2013,15,15,242.5,4146.0,342.0,1.4103092783505156,Mountains uphill finish,Mountain,0.699250846375847,41.72,1.4 km solo,Solo,1690.0
TdF,2013,16,16,168.0,3073.0,123.0,0.7321428571428571,Mountains flat finish,Medium_Mountain,0.8446607142857141,43.31,19 km solo,Solo,1690.0
TdF,2013,18,18,172.5,4789.0,417.0,2.417391304347826,Mountains uphill finish,High_Mountain,0.5958131756094258,35.5,2 km solo,Solo,1690.0
TdF,2013,19,19,204.5,5567.0,369.0,1.80440097799511,Mountains flat finish,High_Mountain,0.6350284312350877,34.18,19.4 km solo,Solo,1690.0
TdF,2013,20,20,125.0,3909.0,353.0,2.824,Mountains uphill finish,High_Mountain,0.6057879329058489,34.24,0.9 km solo,Solo,1690.0
TdF,2013,21,21,118.0,766.0,8.0,0.06779661016949153,Flat,Flat,0.8867847260561077,38.02,Sprint of large group,Large group sprint,1690.0
TdF,2014,1,1,190.5,2092.0,50.0,0.26246719160104987,Hills flat finish,Rolling,0.42012066624895544,40.23,Sprint of large group,Large group sprint,1612.0
TdF,2014,2,2,201.0,3347.0,160.0,0.7960199004975125,Hills flat finish,Medium_Mountain,0.8584654761904764,39.08,1.9 km solo,Solo,1612.0
TdF,2014,3,3,155.0,834.0,4.0,0.025806451612903226,Flat,Flat,0.8619318130377535,42.56,Sprint of large group,Large group sprint,1612.0
TdF,2014,4,4,163.5,1118.0,21.0,0.12844036697247707,Flat,Flat,0.7947898130850918,45.28,Sprint of large group,Large group sprint,1612.0
TdF,2014,5,5,155.5,475.0,0.0,0.0,Flat,Flat,0.8232340367965368,46.98,6.2 km solo,Solo,1612.0
TdF,2014,6,6,194.0,1422.0,23.0,0.11855670103092783,Flat,Flat,0.7540943772429841,46.25,Sprint of large group,Large group sprint,1612.0
TdF,2014,7,7,234.5,2076.0,55.0,0.2345415778251599,Hills flat finish,Rolling,0.5971567059372259,44.16,Sprint of large group,Large group sprint,1612.0
TdF,2014,8,8,161.0,1872.0,150.0,0.9316770186335404,Mountains uphill finish,Medium_Mountain,0.4752906746031746,42.1,25 km solo,Solo,1612.0
TdF,2014,9,9,170.0,3373.0,137.0,0.8058823529411765,Mountains flat finish,Medium_Mountain,0.7416648809523809,40.87,59.1 km solo,Solo,1612.0
TdF,2014,10,10,161.5,3906.0,303.0,1.8761609907120742,Mountains uphill finish,Mountain,0.7204249020995346,36.23,0.8 km solo,Solo,1612.0
TdF,2014,11,11,187.5,2711.0,128.0,0.6826666666666666,Hills flat finish,Hilly_Difficult,0.694482770959261,42.33,2.7 km solo,Solo,1612.0
TdF,2014,12,12,185.5,2530.0,64.0,0.3450134770889488,Hills flat finish,Rolling,0.3957533040355383,40.89,Sprint of large group,Large group sprint,1612.0
TdF,2014,13,13,197.5,3865.0,363.0,1.8379746835443038,Mountains uphill finish,Mountain,0.645809311807474,37.92,3.3 km solo,Solo,1612.0
TdF,2014,14,14,177.0,4838.0,344.0,1.9435028248587571,Mountains uphill finish,High_Mountain,0.5839449475210889,34.43,8.5 km solo,Solo,1612.0
TdF,2014,15,15,222.0,1675.0,20.0,0.09009009009009009,Flat,Flat,0.7270427656601225,44.89,Sprint of large group,Large group sprint,1612.0
TdF,2014,16,16,237.5,4047.0,247.0,1.04,Mountains flat finish,Mountain,0.45663567682317646,38.81,4.6 km solo,Solo,1612.0
TdF,2014,17,17,124.5,3810.0,410.0,3.2931726907630523,Mountains uphill finish,Hilly_Difficult,0.6060695831945833,34.68,2.4 km solo,Solo,1612.0
TdF,2014,18,18,145.5,3748.0,336.0,2.3092783505154637,Mountains uphill finish,Medium_Mountain,0.3959863365800866,35.74,8 km solo,Solo,1612.0
TdF,2014,19,19,208.5,1659.0,43.0,0.20623501199040767,Flat,Hilly,0.741524277805528,44.1,12 km solo,Solo,1612.0
TdF,2014,21,21,137.5,805.0,6.0,0.04363636363636364,Flat,Flat,0.8489711438050255,41.08,Sprint of large group,Large group sprint,1612.0
