rennen,jahr,etappe,terrain,km,hm,ps,finisher,erste_gruppe,erste_gruppe_anteil,zeitgruppen,gruppengroesse_hinten,letzter_je_km,p5_je_km,p10_je_km,p25_je_km,p50_je_km,p75_je_km,p90_je_km,p100_je_km,rang10_je_km,rang20_je_km,rang30_je_km,rang50_je_km,rang75_je_km,rang100_je_km,rang150_je_km,ueber_zeitlimit
Giro,2010,10,Rolling,220.0,2292,43,181,9,0.049723756906077346,19,9.555555555555555,2.0954545454545452,0.0,0.013636363636363636,0.013636363636363636,0.013636363636363636,0.1409090909090909,1.9363636363636363,2.0954545454545452,0.013636363636363636,0.013636363636363636,0.013636363636363636,0.013636363636363636,0.013636363636363636,0.013636363636363636,0.6909090909090909,0
Giro,2010,11,Mountain,262.0,4024,135,170,1,0.0058823529411764705,48,3.595744680851064,10.65267175572519,0.026717557251908396,0.1183206106870229,2.8969465648854964,9.034351145038167,9.045801526717558,10.65267175572519,10.65267175572519,0.026717557251908396,0.15648854961832062,0.4961832061068702,2.9198473282442747,7.919847328244275,9.045801526717558,10.65267175572519,0
Giro,2010,12,Hilly,206.0,1651,61,168,10,0.05952380952380952,16,10.533333333333333,3.1650485436893203,0.0,0.04854368932038835,0.04854368932038835,0.17475728155339806,1.1262135922330097,2.087378640776699,3.1650485436893203,0.0,0.04854368932038835,0.04854368932038835,0.04854368932038835,0.11650485436893204,0.17475728155339806,2.087378640776699,0
Giro,2010,13,Hilly_Difficult,223.0,2036,97,163,9,0.05521472392638037,23,7.0,4.367713004484305,0.0,0.17040358744394618,2.008968609865471,2.062780269058296,2.1300448430493275,2.376681614349776,4.367713004484305,0.02242152466367713,2.0,2.008968609865471,2.008968609865471,2.008968609865471,2.1300448430493275,3.8251121076233185,0
Giro,2010,14,Hilly_Difficult,205.0,2214,191,163,1,0.006134969325153374,16,10.8,7.717073170731707,0.7073170731707317,0.9073170731707317,3.478048780487805,5.512195121951219,7.717073170731707,7.717073170731707,7.717073170731707,0.7073170731707317,1.395121951219512,1.395121951219512,4.4975609756097565,5.512195121951219,7.717073170731707,7.717073170731707,0
Giro,2010,15,Mountain,218.0,3915,441,156,1,0.00641025641025641,95,1.648936170212766,8.46788990825688,0.9174311926605505,1.463302752293578,2.7477064220183487,6.215596330275229,7.426605504587156,8.009174311926605,8.46788990825688,1.036697247706422,1.6192660550458715,2.261467889908257,4.08256880733945,6.215596330275229,6.995412844036697,8.431192660550458,0
Giro,2010,17,Medium_Mountain,173.0,2871,167,151,1,0.006622516556291391,50,3.061224489795918,6.317919075144508,0.6763005780346821,0.9075144508670521,3.6416184971098264,4.77456647398844,5.375722543352601,6.317919075144508,6.317919075144508,0.7341040462427746,3.4277456647398843,3.4739884393063583,4.115606936416185,4.77456647398844,5.375722543352601,6.317919075144508,0
Giro,2010,18,Rolling,143.0,1047,22,151,107,0.7086092715231788,18,2.588235294117647,2.7482517482517483,0.0,0.0,0.0,0.0,0.14685314685314685,0.6223776223776224,2.7482517482517483,0.0,0.0,0.0,0.0,0.0,0.0,1.8041958041958042,0
Giro,2010,19,Mountain,195.0,4641,388,144,3,0.020833333333333332,13,11.75,10.856410256410257,0.9538461538461539,1.6974358974358974,7.1179487179487175,8.441025641025641,10.856410256410257,10.856410256410257,10.856410256410257,1.676923076923077,3.3025641025641024,4.441025641025641,7.1179487179487175,8.441025641025641,10.856410256410257,,0
Giro,2010,2,Flat,209.0,684,3,196,14,0.07142857142857142,23,8.272727272727273,1.7511961722488039,0.0,0.014354066985645933,0.014354066985645933,0.17703349282296652,0.17703349282296652,0.7894736842105263,1.7511961722488039,0.0,0.014354066985645933,0.014354066985645933,0.014354066985645933,0.17703349282296652,0.17703349282296652,0.17703349282296652,0
